id;balace;user_id;frost_sum;date_last_add_balance;date_last_minus_from_balance;date_1;date_2;long_1;string_1;boolean_1
1;69024;55759;76745;2022-11-23T01:48:30;2022-11-23T03:31:10;2022-11-22T23:10:18;2022-11-23T06:15:20;6960;transmitting channels Steel;false
2;60666;7976;74089;2022-11-22T21:11:24;2022-11-23T13:18:38;2022-11-23T11:03:41;2022-11-22T22:08:42;54559;scale;true
3;99129;40322;56362;2022-11-22T22:23:03;2022-11-23T08:45:33;2022-11-22T22:35:06;2022-11-22T18:01:42;84796;Phased;false
4;64802;46667;68962;2022-11-23T01:52:54;2022-11-23T00:01:06;2022-11-22T18:55:19;2022-11-22T14:40:55;23254;Consultant PCI real-time;false
5;85136;24803;44024;2022-11-22T23:24:03;2022-11-23T00:10:23;2022-11-23T02:46:26;2022-11-22T22:05:31;63133;Persevering;false
6;67255;25367;74907;2022-11-23T09:43:53;2022-11-23T10:41:33;2022-11-22T14:09:28;2022-11-22T15:55:04;81847;sensor Product Grenada;true
7;9218;64247;91542;2022-11-23T02:56:53;2022-11-23T07:01:42;2022-11-23T12:50:20;2022-11-22T21:07:42;9183;application;true
8;11401;82193;90170;2022-11-23T12:24:23;2022-11-23T06:13:55;2022-11-22T22:29:49;2022-11-22T16:10:05;42107;Russian Fish;true
9;49140;83919;54023;2022-11-23T03:29:43;2022-11-22T16:53:29;2022-11-23T10:20:21;2022-11-23T08:00:08;97024;Rustic Re-contextualized;false
10;69948;48121;28715;2022-11-22T23:46:07;2022-11-23T07:23:45;2022-11-23T02:54:31;2022-11-23T00:39:07;90998;Investment Strategist Operations;false
