id;category;price_diapozon;link;chanell_admin_id;date_post_link_start;date_post_link_end;position_between_links;show_link;is_delete;date_1;date_2;long_1;string_1;boolean_1
1;Pizza Bedfordshire Borders;51614;generating;97865;2022-11-23T04:28:45;2022-11-23T01:55:07;24627;false;false;2022-11-23T05:35:46;2022-11-22T23:24:38;40334;GB calculate;false
2;Isle Germany Gorgeous;5640;Rustic Cotton Frozen;87113;2022-11-23T05:57:04;2022-11-23T06:47:36;99890;true;true;2022-11-22T19:58:24;2022-11-23T06:10:23;56898;ADP Bedfordshire complexity;true
3;implement;26896;Small Monaco Park;41100;2022-11-23T01:50:06;2022-11-23T06:23:13;82108;false;false;2022-11-23T04:39:12;2022-11-22T15:52:39;68609;application azure compressing;false
4;Creative customized override;9033;Open-source gold;745;2022-11-23T02:10:42;2022-11-23T12:44:17;33242;false;false;2022-11-22T17:41:17;2022-11-22T22:56:17;76595;Producer;false
5;Lesotho transmit;60124;bi-directional;52283;2022-11-23T09:33:52;2022-11-22T16:34:06;31930;true;false;2022-11-23T01:58:25;2022-11-23T03:23:30;79229;applications Analyst Executive;false
6;Hryvnia North;7281;engage;2584;2022-11-22T18:44:54;2022-11-23T08:41:42;72008;true;true;2022-11-22T22:59:42;2022-11-22T14:01:51;11369;Global Industrial;true
7;Louisiana;63212;bandwidth transmitting;24153;2022-11-22T14:01:08;2022-11-23T02:11:52;26198;false;true;2022-11-23T00:54:19;2022-11-22T18:15:25;27145;array;true
8;Borders;37323;Fantastic withdrawal;83150;2022-11-23T06:14:34;2022-11-23T10:38:38;25149;true;false;2022-11-23T08:07:01;2022-11-22T19:19:50;62923;enterprise Automotive Berkshire;false
9;Fresh;88564;Devolved;84393;2022-11-22T23:48:28;2022-11-22T17:59:37;46614;false;false;2022-11-23T09:15:59;2022-11-23T08:57:00;70594;Won;false
10;firewall Small;56244;synergistic;12653;2022-11-22T16:35:51;2022-11-23T07:40:48;35304;true;true;2022-11-22T19:32:20;2022-11-23T05:37:24;69245;CSS niches;true
