id;text;is_delete;admin_id;is_active;date_1;date_2;long_1;string_1;boolean_1
1;compress Keys;true;13308;false;2022-11-22T23:32:40;2022-11-23T11:08:27;99304;Diverse Sausages;false
2;haptic;false;96882;false;2022-11-22T14:07:05;2022-11-23T01:10:05;42224;Customer Sausages back-end;true
3;Liaison Ariary;true;78484;false;2022-11-22T19:46:07;2022-11-23T03:46:50;88430;local;true
4;Light;false;20291;false;2022-11-23T08:54:29;2022-11-22T14:56:58;91582;compressing;false
5;connect Expanded Berkshire;false;90655;true;2022-11-23T11:26:08;2022-11-22T21:53:13;19536;Soft customized;false
6;COM;true;26421;false;2022-11-22T15:09:48;2022-11-23T12:52:21;11955;Home solution;false
7;Bacon Dollar Multi-layered;true;96387;false;2022-11-22T15:30:12;2022-11-23T05:46:58;74763;generating Frozen state;true
8;Account channels frictionless;true;72643;false;2022-11-23T12:57:13;2022-11-22T19:06:09;7543;Bike frame;true
9;generate out-of-the-box uniform;false;97898;false;2022-11-22T18:39:16;2022-11-23T11:15:30;24329;Sharable Shoes;false
10;calculate Card;true;62918;true;2022-11-22T22:02:46;2022-11-23T02:14:56;66975;Soft;true
