id;text;is_delete;admin_id;is_active;date_1;date_2;long_1;string_1;boolean_1
1;sky Shoes SDD;true;90133;false;2022-11-23T05:38:49;2022-11-22T17:24:04;70806;transmitting Franc;true
2;compressing Steel;true;86388;false;2022-11-22T18:14:13;2022-11-22T23:15:53;78934;uniform withdrawal;false
3;4th;false;212;true;2022-11-22T16:24:26;2022-11-23T02:51:59;74075;invoice;true
4;withdrawal deposit Analyst;false;5302;false;2022-11-22T23:38:15;2022-11-22T22:53:23;92477;engine Vermont;false
5;compelling open-source;false;22525;false;2022-11-23T04:25:53;2022-11-23T00:08:28;25325;redundant Account Unbranded;true
6;Tuna;false;19587;true;2022-11-23T11:52:13;2022-11-23T11:05:18;33352;bypass PNG Function-based;true
7;Plastic methodology;true;18910;false;2022-11-22T23:58:09;2022-11-22T23:12:10;29281;open Central;false
8;Account Account;true;67595;true;2022-11-22T14:17:21;2022-11-23T09:18:55;64260;Dynamic Small Central;true
9;Sweden infrastructures;true;43269;true;2022-11-22T23:36:18;2022-11-23T11:04:12;89870;Industrial multi-byte Licensed;true
10;SSL Dollar;true;76907;true;2022-11-23T03:01:42;2022-11-23T11:51:08;48149;Shoes Refined;true
