id;category;price_diapozon;current_price;whice_line_from_all_count_lines;tg_user_id_winner;in_what_date_will_post_this_links;date_finish_torgs;is_delete;date_1;date_2;long_1;string_1;boolean_1
1;Steel York Inverse;99334;72840;22984;16773;87736;2022-11-22T14:40:02;false;2022-11-23T06:14:35;2022-11-23T08:07:08;48768;HTTP Concrete invoice;true
2;Bedfordshire unleash reciprocal;54561;55290;66075;88830;5915;2022-11-22T14:19:57;true;2022-11-23T01:21:38;2022-11-23T06:32:27;56544;integrated;false
3;Table users;24424;73100;45002;30361;29473;2022-11-22T18:05:09;true;2022-11-22T16:53:53;2022-11-23T08:47:44;15523;Rubber Progressive services;false
4;Concrete Rufiyaa indigo;919;20778;54408;96204;43990;2022-11-22T21:30:43;true;2022-11-23T03:23:17;2022-11-23T09:57:22;53714;Dynamic;false
5;Frozen;22768;41967;60332;56375;38682;2022-11-22T21:57:35;true;2022-11-23T05:31:46;2022-11-22T15:36:22;18552;Customer;true
6;Wall;49275;3663;90291;52522;61858;2022-11-23T13:10:58;true;2022-11-23T05:59:43;2022-11-23T00:37:47;21885;Avon;true
7;Soft incubate Legacy;639;23499;80278;22331;61206;2022-11-23T09:36:13;false;2022-11-23T04:15:35;2022-11-23T11:08:35;90216;Senegal;true
8;Estate Kansas;48739;85761;16417;16138;59425;2022-11-22T13:28:56;true;2022-11-22T19:10:33;2022-11-22T15:09:56;49591;Grocery;false
9;demand-driven;86123;29932;61608;63292;79247;2022-11-23T10:03:49;false;2022-11-22T23:20:39;2022-11-22T22:23:38;40201;Village Optimized interactive;false
10;strategize applications Roads;42533;88416;16242;66152;95511;2022-11-22T20:00:15;true;2022-11-23T12:51:15;2022-11-22T23:43:30;42969;Soft;false
