id;category;price_diapozon;current_price;whice_line_from_all_count_lines;tg_user_id_winner;in_what_date_will_post_this_links;date_finish_torgs;is_delete;date_1;date_2;long_1;string_1;boolean_1
1;Iraq parsing indigo;93353;15301;41800;42749;8647;2022-11-23T00:44:06;false;2022-11-22T13:46:22;2022-11-22T23:59:20;52891;Car Towels;true
2;Developer Hat;44482;67683;22210;65237;96784;2022-11-23T11:14:59;true;2022-11-23T01:11:19;2022-11-23T02:00:06;80999;Afghanistan cyan Rubber;true
3;Buckinghamshire whiteboard Fish;82214;87958;31738;66739;27043;2022-11-22T23:30:14;true;2022-11-23T13:00:00;2022-11-22T23:09:36;42460;Baby invoice;true
4;green;77682;6470;7381;10030;63918;2022-11-22T14:29:12;true;2022-11-23T04:11:45;2022-11-23T11:55:57;59490;PNG invoice Account;false
5;Buckinghamshire Camp architect;91141;11939;30790;26736;79256;2022-11-23T11:25:55;true;2022-11-22T17:16:37;2022-11-23T12:23:56;76266;synthesizing;false
6;Administrator deposit payment;65752;5540;26860;47374;44116;2022-11-22T22:07:26;true;2022-11-23T11:09:32;2022-11-23T07:23:13;16912;California;false
7;Toys;12906;30129;45641;80912;75441;2022-11-22T15:55:53;true;2022-11-23T05:55:42;2022-11-23T05:06:53;34024;streamline overriding;true
8;hack;88946;29461;58298;8159;24341;2022-11-23T08:35:11;true;2022-11-23T11:32:26;2022-11-22T14:34:55;34424;dynamic;false
9;Frozen generating cyan;95036;5935;12313;70327;75195;2022-11-22T23:04:04;true;2022-11-23T08:04:05;2022-11-23T03:49:52;62563;Pennsylvania calculate;true
10;Markets Pizza Steel;2588;7047;46938;80099;92447;2022-11-23T01:09:04;false;2022-11-23T04:18:36;2022-11-23T01:42:21;95828;attitude-oriented Infrastructure;true
