id;date_log;comment;contacts;end_public_date;id_channel;is_moderate;is_pay;last_pay_date;link;name_channel;price_for_pay;start_date;count_subscribers;count_views;old_comment;old_contacts;old_end_public_date;old_is_moderate;old_is_pay;old_last_pay_date;old_link;old_name_channel;old_price_for_pay;old_start_date;old_count_subscribers;old_count_views
1;2024-02-06;Indiana Open-source National;Triple-buffered Benin;2024-02-05T19:53:42;20100;true;true;2024-02-06T07:59:39;Belize;panel Colorado;Rubber Extensions;2024-02-05T19:43:03;37830;4256;frictionless encryption Sausages;eyeballs Soap;2024-02-05T17:14:16;true;true;2024-02-06T11:48:26;Group Awesome blockchains;Fresh neural;Loan orchid;2024-02-06T00:13:49;53266;62043
2;2024-02-06;infomediaries navigate Integrated;JSON Soap Berkshire;2024-02-05T20:50:58;33091;true;false;2024-02-06T13:30:56;Wooden Dynamic;Turnpike;fuchsia Account backing;2024-02-05T21:38:26;22477;91623;Practical functionalities customized;online withdrawal navigate;2024-02-06T08:56:35;false;false;2024-02-05T18:50:17;Soft;Data holistic matrix;Wooden Tasty;2024-02-06T03:35:53;12863;71658
3;2024-02-05;open-source Direct Borders;Jamaican hack;2024-02-06T04:44:14;63048;true;false;2024-02-06T07:27:21;New;bricks-and-clicks;Strategist Consultant relationships;2024-02-05T19:34:29;10521;25077;Port;Table Ngultrum;2024-02-06T14:16:50;false;false;2024-02-06T13:34:38;dynamic International;Malta Massachusetts;auxiliary Games;2024-02-05T18:37:52;67811;56631
4;2024-02-06;Hawaii Savings;monitor invoice;2024-02-06T11:57:24;54648;false;false;2024-02-06T13:25:20;Cloned Jewelery;payment;withdrawal Sports;2024-02-06T03:37:53;6960;41711;Loan;deposit;2024-02-05T19:49:43;false;true;2024-02-06T11:43:09;Loan payment Developer;salmon;Robust invoice;2024-02-06T00:15:05;95259;29470
5;2024-02-05;Usability;frame Florida reboot;2024-02-06T15:55:36;1551;false;false;2024-02-06T03:54:13;Iran Niger Small;Meadows Republic Account;Hawaii Shoes;2024-02-06T11:11:29;41115;92622;Fresh innovative;Leone defect;2024-02-05T20:12:45;true;false;2024-02-06T06:36:52;engineer Terrace;mesh;generating;2024-02-06T08:23:25;19223;43984
6;2024-02-06;Krona generation Garden;Assurance;2024-02-06T06:47:54;76056;false;true;2024-02-05T18:49:24;Accounts experiences override;AI;sensor;2024-02-05T22:47:54;58357;16696;Fantastic port;Texas Account GB;2024-02-06T15:44:56;true;true;2024-02-06T11:48:21;Sports;Afghanistan Gorgeous;Chips Books;2024-02-05T19:58:47;6591;83299
7;2024-02-06;Plastic Automated;Cambridgeshire Direct;2024-02-06T12:40:33;55394;false;true;2024-02-05T19:25:05;architectures Business-focused;EXE;Tools Chair;2024-02-06T06:35:26;19709;36441;Grocery;Account Card Checking;2024-02-06T15:52:31;false;true;2024-02-06T00:06:01;Soft Engineer program;generate system-worthy Licensed;Paradigm;2024-02-06T03:28:20;57920;42771
8;2024-02-06;hacking;homogeneous;2024-02-06T06:12:54;16476;true;false;2024-02-06T08:44:07;mobile;reciprocal Brand;indexing Keyboard Kansas;2024-02-06T06:08:54;40079;88413;Intelligent Markets Lead;array Factors;2024-02-05T16:57:41;false;true;2024-02-06T11:04:15;Producer bypass;Grocery one-to-one;Wooden Avon;2024-02-06T08:21:18;72422;71878
9;2024-02-06;Malaysian Generic;Inlet help-desk;2024-02-06T16:02:57;88771;false;true;2024-02-06T15:08:13;deposit hack Regional;magnetic Massachusetts;Corporate;2024-02-06T15:17:36;36915;575;envisioneer Centralized PNG;line;2024-02-06T09:26:28;true;false;2024-02-06T13:50:12;Garden lavender;invoice indigo;uniform Account copying;2024-02-06T01:08:55;16856;60730
10;2024-02-06;enable open-source;Infrastructure;2024-02-06T12:16:13;46668;false;true;2024-02-06T15:53:27;Tasty blue;deposit;Florida withdrawal;2024-02-06T02:03:00;54657;3525;Gloves Arkansas;Grass-roots Club;2024-02-06T13:33:49;true;false;2024-02-05T19:44:38;input;Tactics Avon National;Cambridgeshire;2024-02-05T19:40:18;52299;45589
