id;balace;user_id;frost_sum;date_last_add_balance;date_last_minus_from_balance;date_1;date_2;long_1;string_1;boolean_1
1;55047;75020;41498;2022-11-22T17:02:02;2022-11-22T18:47:20;2022-11-23T06:50:29;2022-11-22T22:07:00;64953;online calculating;false
2;26560;93568;41676;2022-11-23T13:01:23;2022-11-23T04:01:34;2022-11-22T19:09:51;2022-11-23T05:13:49;90376;Panama;true
3;8512;42468;14337;2022-11-23T01:45:25;2022-11-23T10:02:26;2022-11-22T22:41:15;2022-11-22T22:37:33;94995;rich;true
4;59515;41594;83560;2022-11-22T21:39:47;2022-11-22T14:51:02;2022-11-23T02:46:05;2022-11-22T16:30:29;30081;Road Zambia Configuration;false
5;99016;26070;54962;2022-11-22T19:33:39;2022-11-22T19:43:25;2022-11-23T09:26:07;2022-11-22T18:39:32;2102;Personal Beauty;true
6;80298;67801;70704;2022-11-22T18:25:19;2022-11-22T23:06:41;2022-11-23T10:39:56;2022-11-22T13:39:37;60801;Fully-configurable navigating;true
7;14950;53178;80758;2022-11-22T16:08:53;2022-11-23T13:00:22;2022-11-23T01:39:20;2022-11-23T04:00:53;94269;Pants Central Producer;true
8;90055;77907;79529;2022-11-23T05:42:39;2022-11-23T12:23:17;2022-11-23T03:12:41;2022-11-23T06:22:00;74110;Internal Chips Organized;false
9;48176;98840;67397;2022-11-22T13:30:39;2022-11-22T15:17:05;2022-11-22T20:42:15;2022-11-22T16:44:21;43932;Handcrafted Intelligent protocol;true
10;40312;20221;55234;2022-11-23T03:01:28;2022-11-22T16:18:27;2022-11-22T23:36:21;2022-11-22T15:21:17;99700;panel;true
