id;category;price_diapozon;link;chanell_admin_id;date_post_link_start;date_post_link_end;position_between_links;show_link;is_delete;date_1;date_2;long_1;string_1;boolean_1
1;Montana sky;64876;connecting Practical B2C;85600;2022-11-23T00:30:43;2022-11-23T02:39:10;76125;false;false;2022-11-22T21:47:01;2022-11-23T12:41:09;43820;quantify;true
2;payment Kids;40617;Roads service-desk;59121;2022-11-23T10:37:39;2022-11-22T17:51:25;64070;false;false;2022-11-22T21:54:19;2022-11-23T08:12:06;56926;Czech;false
3;alarm;4381;Tuna;63504;2022-11-22T17:20:18;2022-11-22T18:08:04;90835;false;false;2022-11-23T12:52:20;2022-11-22T22:55:34;19173;Card wireless digital;false
4;Sheqel;38868;matrix intuitive Business-focused;56934;2022-11-22T18:49:43;2022-11-23T04:06:54;12550;true;true;2022-11-23T05:24:49;2022-11-22T13:21:20;49729;hacking Infrastructure Rubber;false
5;revolutionary;45664;repurpose Cambridgeshire;78096;2022-11-22T14:41:43;2022-11-22T18:21:20;5447;true;false;2022-11-22T14:54:32;2022-11-23T09:23:27;68624;synergistic Regional;false
6;e-commerce Plastic;5619;Soap software;19563;2022-11-23T01:20:38;2022-11-22T20:40:01;30208;false;false;2022-11-23T05:48:55;2022-11-22T15:40:24;34628;pixel Romania program;true
7;Architect Vermont;2362;Home;97020;2022-11-23T02:48:12;2022-11-23T04:53:51;72171;false;true;2022-11-23T00:51:25;2022-11-23T10:48:01;32532;Handcrafted;false
8;Borders throughput;88020;Islands;40323;2022-11-23T04:06:06;2022-11-22T23:22:27;79240;true;false;2022-11-23T11:31:20;2022-11-23T05:14:54;71520;Table;true
9;Knolls;22344;Programmable SMS Maine;24660;2022-11-23T10:58:21;2022-11-22T15:14:49;76483;false;false;2022-11-22T13:45:25;2022-11-22T23:32:27;15617;protocol Steel Progressive;false
10;matrix withdrawal ADP;72676;Palestinian EXE payment;92540;2022-11-23T09:39:25;2022-11-23T10:18:12;12257;false;false;2022-11-22T14:31:40;2022-11-23T06:23:40;76956;compress;false
