id;date_pays_subscriptions;link;sum_for_pays;type_buy;category;type_buy_long;date_1;date_2;long_1;string_1;boolean_1
1;2022-11-22T21:29:05;Future;24795;District USB;Metal Southern Keyboard;70454;2022-11-22T17:42:51;2022-11-23T04:51:02;27596;connecting;false
2;2022-11-22T21:00:39;Krona auxiliary Virginia;88259;RSS Beauty;Account Engineer;43914;2022-11-22T23:38:05;2022-11-22T19:32:24;45038;Ergonomic Group Croatian;true
3;2022-11-23T07:08:50;payment AGP Uzbekistan;61193;Chicken needs-based Games;superstructure;24756;2022-11-23T05:40:28;2022-11-23T07:03:03;38974;alarm Soft;false
4;2022-11-23T11:07:23;open-source;26611;CSS Tasty;stable Borders synthesizing;81386;2022-11-23T06:23:50;2022-11-22T17:25:37;74263;Officer holistic Squares;false
5;2022-11-23T05:21:25;Generic projection RSS;20375;Tasty system;Intuitive;28390;2022-11-22T13:55:19;2022-11-23T10:30:09;36984;Granite Cambridgeshire Marketing;true
6;2022-11-23T08:48:00;Spring;890;GB;24/7 Frozen;46919;2022-11-22T15:57:36;2022-11-23T05:08:22;88876;Tuna Intelligent Turkmenistan;true
7;2022-11-22T22:35:35;Soft invoice;85007;Libyan Movies open-source;moderator withdrawal Bedfordshire;81422;2022-11-22T13:55:13;2022-11-22T18:09:08;43666;Chief Metal functionalities;false
8;2022-11-22T13:37:10;embrace;11852;Customizable transmit Music;Avon;17316;2022-11-23T07:40:20;2022-11-22T17:18:43;33924;Plastic copying;true
9;2022-11-23T10:49:14;process;89314;Wyoming Way Handmade;programming;64164;2022-11-23T08:13:38;2022-11-22T20:35:40;55099;Buckinghamshire plum Dominica;true
10;2022-11-22T17:25:38;withdrawal Checking XSS;77083;Territory azure Customer;Sol;16074;2022-11-23T02:22:21;2022-11-23T12:13:54;22504;SSL Sri Oregon;true
