id;city_name;date_create_city;status
1;Москва;2023-07-30T00:57:17;
2;Санкт-Петербург;2023-07-30T00:57:17;
3;Московская область;2023-07-30T00:57:17;
4;Королёв;2023-07-30T00:57:17;
5;Одинцово;2023-07-30T00:57:17;
6;Люберцы;2023-07-30T00:57:17;
7;Сергиев Посад;2023-07-30T00:57:17;
8;Раменское;2023-07-30T00:57:17;
9;Мытищи;2023-07-30T00:57:17;
10;Химки;2023-07-30T00:57:17;
11;Истра;2023-07-30T00:57:17;
12;Серпухов;2023-07-30T00:57:17;
13;Ногинск;2023-07-30T00:57:17;
14;Дмитров;2023-07-30T00:57:17;
15;Зеленоград;2023-07-30T00:57:17;
16;Реутов;2023-07-30T00:57:17;
17;Лобня;2023-07-30T00:57:17;
18;Чехов;2023-07-30T00:57:17;
19;Красногорск;2023-07-30T00:57:17;
20;Видное;2023-07-30T00:57:17;
21;Пушкино;2023-07-30T00:57:17;
22;Звенигород;2023-07-30T00:57:17;
23;Голицино;2023-07-30T00:57:17;
24;Кубинка;2023-07-30T00:57:17;
25;Красноармейск;2023-07-30T00:57:17;
26;Дрожжино;2023-07-30T00:57:17;
27;Воскресенск;2023-07-30T00:57:17;
28;Домодедово;2023-07-30T00:57:17;
29;Балашиха;2023-07-30T00:57:17;
30;Подольск;2023-07-30T00:57:17;
31;Жуковский;2023-07-30T00:57:17;
32;Электросталь;2023-07-30T00:57:17;
33;Богородский округ;2023-07-30T00:57:17;
34;Щёлково;2023-07-30T00:57:17;
35;Егорьевск;2023-07-30T00:57:17;
36;Долгопрудный;2023-07-30T00:57:17;
37;Краснознаменск;2023-07-30T00:57:17;
38;Дмитровский округ;2023-07-30T00:57:17;
39;Сокол;2023-07-30T00:57:17;
40;Можайск;2023-07-30T00:57:17;
41;Нахабино;2023-07-30T00:57:17;
42;Фрязино;2023-07-30T00:57:17;
43;Лытаркино;2023-07-30T00:57:17;
44;Коломна;2023-07-30T00:57:17;
45;Лотошина;2023-07-30T00:57:17;
46;Дзержинский;2023-07-30T00:57:17;
47;Ступино;2023-07-30T00:57:17;
48;Павловский посад;2023-07-30T00:57:17;
49;Серебряные Пруды;2023-07-30T00:57:17;
50;Архангельск;2023-07-30T00:57:17;
51;Северодвинск;2023-07-30T00:57:17;
52;Вельск;2023-07-30T00:57:17;
53;Коряжма;2023-07-30T00:57:17;
54;Няндома;2023-07-30T00:57:17;
55;Котлас;2023-07-30T00:57:17;
56;Барнаул;2023-07-30T00:57:17;
57;Рубцовск;2023-07-30T00:57:17;
58;Бийск;2023-07-30T00:57:17;
59;Алтай;2023-07-30T00:57:17;
60;Амур;2023-07-30T00:57:17;
61;Благовещенск;2023-07-30T00:57:17;
62;Белогорск;2023-07-30T00:57:17;
63;Астраханская область;2023-07-30T00:57:17;
64;Астрахань;2023-07-30T00:57:17;
65;Белгород;2023-07-30T00:57:17;
66;Белгородская область;2023-07-30T00:57:17;
67;Старый Оскол;2023-07-30T00:57:17;
68;Брянская область;2023-07-30T00:57:17;
69;Брянск;2023-07-30T00:57:17;
70;Клинцы;2023-07-30T00:57:17;
71;Бежица;2023-07-30T00:57:17;
72;Владимир;2023-07-30T00:57:17;
73;Владимирская область;2023-07-30T00:57:17;
74;Ковров;2023-07-30T00:57:17;
75;Волгоград;2023-07-30T00:57:17;
76;Волжский;2023-07-30T00:57:17;
77;Вологоградская область;2023-07-30T00:57:17;
78;Михайловка;2023-07-30T00:57:17;
79;Вологодская область;2023-07-30T00:57:17;
80;Вологда;2023-07-30T00:57:17;
81;Череповец;2023-07-30T00:57:17;
82;Воронеж;2023-07-30T00:57:17;
83;Воронежская область;2023-07-30T00:57:17;
84;Биробиджан;2023-07-30T00:57:17;
85;Чита;2023-07-30T00:57:17;
86;Краснокаменск;2023-07-30T00:57:17;
87;Забайкалье;2023-07-30T00:57:17;
88;Иногородинск;2023-07-30T00:57:17;
89;Иваново;2023-07-30T00:57:17;
90;Ивановская область;2023-07-30T00:57:17;
91;Кинешма;2023-07-30T00:57:17;
92;Шуя;2023-07-30T00:57:17;
93;Иркутск;2023-07-30T00:57:17;
94;Иркутскская область;2023-07-30T00:57:17;
95;Братск;2023-07-30T00:57:17;
96;Усть-Ильимск;2023-07-30T00:57:17;
97;Ангарск;2023-07-30T00:57:17;
98;Черемхово;2023-07-30T00:57:17;
99;Усолье-Сибирское;2023-07-30T00:57:17;
100;Нальчик;2023-07-30T00:57:17;
101;Кабардино-Балкария;2023-07-30T00:57:17;
102;Калининград;2023-07-30T00:57:17;
103;Калининградская область;2023-07-30T00:57:17;
104;Калуга;2023-07-30T00:57:17;
105;Обнинск;2023-07-30T00:57:17;
106;Калужская область;2023-07-30T00:57:17;
107;Петропавловск-Камчатский;2023-07-30T00:57:17;
108;Камчатка;2023-07-30T00:57:17;
