id;name;contact;link;is_active
1;Computer;Florida Data;object-oriented Marketing;false
2;Dollar;green Tasty;Cotton Associate reboot;true
3;synergize Cambridgeshire;indexing scale;calculate initiatives Loan;false
4;yellow 1080p approach;reintermediate Ball;Forward invoice Officer;false
5;Awesome monitor;Money;Account;false
6;Persistent;Checking Avon;dynamic;false
7;Handmade Fords Alaska;Internal;Money bus 24/7;true
8;Soft Data Hat;24/7 hybrid;Louisiana silver;true
9;dynamic Personal channels;Steel asynchronous Arizona;Colorado Assistant withdrawal;false
10;Dynamic redundant;Berkshire Intelligent;microchip withdrawal;true
