id;category_name;city_id;city_name;chat_id;category_id;date_log;score
1;Новости;null;;1;10;2022-11-22T13:26:18;1
2;Новости;null;;2;10;2022-11-22T13:26:18;1
3;Новости;null;;1;10;2022-11-22T13:26:18;1
4;Новости;null;;2;10;2022-11-22T13:26:18;1
5;Спорт;null;;1;9;2022-11-22T13:26:18;1
6;Спорт;null;;2;9;2022-11-22T13:26:18;1
7;Спорт;null;;1;9;2022-11-22T13:26:18;1
8;Новости;null;;2;10;2022-11-22T13:26:18;1
9;Новости;null;;1;10;2022-11-22T13:26:18;1
10;Новости;null;;2;10;2022-11-22T13:26:18;1
11;Новости;null;;1;10;2022-11-22T13:26:18;1
12;Новости;1;Новороссийск;2;10;2022-11-22T13:26:18;1
13;Новости;1;Новороссийск;1;10;2022-11-22T13:26:18;1
14;Новости;1;Новороссийск;2;10;2022-11-22T13:26:18;1
15;Новости;2;Краснодар;1;10;2022-11-22T13:26:18;1
16;Спорт;2;Краснодар;2;9;2022-11-22T13:26:18;1
17;Спорт;1;Новороссийск;1;9;2022-11-22T13:26:18;1
18;Спорт;1;Новороссийск;2;9;2022-11-22T13:26:18;1
19;Спорт;1;Новороссийск;1;9;2022-11-22T13:26:18;1
20;Новости;null;;3;10;2022-11-22T13:26:18;1
21;Спорт;null;;1;9;2022-11-22T13:26:18;1
22;Програмирование;null;;2;8;2022-11-22T13:26:18;1
23;Програмирование;null;;3;8;2022-11-22T13:26:18;1
24;Спорт;null;;3;9;2022-11-22T13:26:18;1
25;Програмирование;null;;4;8;2022-11-22T13:26:18;1
26;Спорт;null;;1;9;2022-11-22T13:26:18;1
27;Програмирование;null;;2;8;2022-11-22T13:26:18;1
28;Програмирование;null;;1;8;2022-11-22T13:26:18;1
29;Програмирование;null;;2;8;2022-11-22T13:26:18;1
30;Новости;1;Новороссийск;4;10;2022-11-22T13:26:18;1
31;Програмирование;2;Краснодар;3;8;2022-11-22T13:26:18;1
32;Програмирование;2;Краснодар;3;8;2022-11-22T13:26:18;1
33;Новости;2;Краснодар;3;10;2022-11-22T13:26:18;1
34;Новости;1;Новороссийск;4;10;2022-11-22T13:26:18;1
35;Спорт;1;Новороссийск;2;9;2022-11-22T13:26:18;1
36;Спорт;2;Краснодар;1;9;2022-11-22T13:26:18;1
37;Програмирование;1;Новороссийск;1;8;2022-11-22T13:26:18;1
38;Програмирование;2;Краснодар;2;8;2022-11-22T13:26:18;1
39;Програмирование;2;Краснодар;4;8;2022-11-22T13:26:18;1
40;Новости;2;Краснодар;3;10;2022-11-22T13:26:18;1
