id;name;link;score;status;count_subscribers;quaility_from_another_sources;price_diapozon;is_moderate;show_chanell_in_top_by_category;region;city;is_delete;jhi_current_date;date_1;date_2;long_1;string_1;boolean_1
1;Computer benchmark;Handcrafted indexing Ergonomic;14034;Human;46805;34476;51396;true;true;interface Business-focused;Hackettfurt;false;2022-11-23T02:22:10;2022-11-23T08:12:28;2022-11-22T16:53:40;31147;Bahraini Sausages hacking;true
2;Street;Cambridgeshire Gloves parse;26814;Advanced;88128;29336;81543;true;false;Lead Vanuatu;East Kian;false;2022-11-23T00:41:15;2022-11-22T16:13:16;2022-11-23T12:47:13;53815;Legacy Consultant;true
3;bluetooth parsing calculate;Vatu frame Central;27502;leverage invoice one-to-one;59258;67976;40251;false;true;Keyboard Assistant;Claudiaburgh;true;2022-11-23T02:39:26;2022-11-22T14:52:36;2022-11-23T04:02:34;22433;Clothing Senior Brazilian;false
4;Front-line Wooden Ball;Avon;54448;Unbranded Baby;40182;79139;49830;false;false;incubate Engineer;West Francescoton;true;2022-11-23T04:01:01;2022-11-22T21:39:07;2022-11-22T19:10:17;37852;Cambridgeshire;true
5;throughput;Tactics Kansas Orchestrator;7863;green support;50378;56876;41471;false;true;Luxembourg seamless;East Joey;true;2022-11-22T20:15:42;2022-11-23T04:38:56;2022-11-22T18:07:44;87281;payment Guyana;false
6;Virginia Chilean up;experiences action-items;28142;magenta Intelligent;97219;69153;25644;true;false;Integration;East Geraldinehaven;true;2022-11-22T19:58:26;2022-11-23T02:26:22;2022-11-22T19:09:22;2618;compress;true
7;hack quantifying;GB object-oriented Rustic;66621;payment bi-directional;66196;98228;6463;true;true;Sports;Margarettbury;false;2022-11-22T23:03:51;2022-11-22T20:20:56;2022-11-22T21:19:56;68285;facilitate;false
8;input;Rubber;91914;systematic Music Principal;98595;97663;59003;false;true;SDD program;West Jordan;false;2022-11-23T11:48:08;2022-11-23T07:46:34;2022-11-22T21:42:21;10795;connecting;false
9;Junction;database;74141;SCSI;68865;23190;89314;true;true;Refined red;Temple;false;2022-11-22T18:16:06;2022-11-22T18:57:26;2022-11-22T14:57:58;23044;Associate Guam;false
10;Games Burg;Realigned;229;Quality-focused out-of-the-box Divide;57693;38379;31835;true;true;Shoes cyan payment;Gusikowskitown;false;2022-11-22T18:30:38;2022-11-23T05:52:44;2022-11-22T23:05:40;95201;markets;true
