id;chat_id;date_log;id_channel;page_number;id_category;id_city
1;72612;2023-10-25T01:31:26;7084;67148;56498;85540
2;37486;2023-10-25T18:28:24;58972;57812;53553;47981
3;70453;2023-10-25T18:49:37;92061;82759;11490;23159
4;47442;2023-10-25T14:24:28;81629;30893;47497;83740
5;62965;2023-10-25T13:13:45;46610;1103;71757;74684
6;7387;2023-10-25T09:02:52;54829;77022;42458;95956
7;44844;2023-10-24T22:44:05;15978;71799;9051;97121
8;15338;2023-10-25T00:54:27;36509;93909;42852;32437
9;74153;2023-10-25T06:19:03;67579;70188;85849;52122
10;27364;2023-10-25T11:13:44;21435;60169;75861;92656
