chanell_id_id;category_id
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
5;2
10;2
19;2
20;2
8;3
11;3
14;3
19;3
2;4
8;4
14;4
15;4
19;4
20;4
1;5
2;5
3;5
16;5
17;5
11;6
17;6
18;6
6;7
8;7
18;7
25;7
2;8
3;8
4;8
12;8
13;8
1;9
7;9
8;9
17;9
21;9
26;9
27;9
1;10
2;10
3;10
4;10
5;10
6;10
7;10
8;10
9;10
10;10
11;10
12;10
13;10
14;10
15;10
16;10
17;10
18;10
19;10
20;10
21;10
22;10
23;10
24;10
25;10
1;11
2;11
3;11
4;11
5;11
6;11
7;11
8;11
9;11
10;11
11;11
12;11
5;12
10;12
19;12
20;12
8;13
11;13
14;13
19;13
2;14
8;14
14;14
15;14
19;14
20;14
1;15
2;15
3;15
16;15
17;15
11;16
17;16
18;16
6;17
8;17
18;17
25;17
2;18
3;18
4;18
12;18
13;18
1;19
7;19
8;19
17;19
21;19
26;19
27;19
1;20
2;20
3;20
4;20
5;20
6;20
7;20
8;20
9;20
10;20
11;20
12;20
13;20
14;20
15;20
16;20
17;20
18;20
19;20
20;20
21;20
22;20
23;20
24;20
25;20
1;21
2;21
3;21
4;21
5;21
6;21
7;21
8;21
9;21
10;21
11;21
12;21
5;22
10;22
19;22
20;22
8;23
11;23
14;23
19;23
2;24
8;24
14;24
15;24
19;24
20;24
1;25
2;25
3;25
16;25
17;25
11;26
17;26
18;26
6;27
8;27
18;27
25;27
2;28
3;28
4;28
12;28
13;28
1;29
7;29
8;29
17;29
21;29
26;29
27;29
1;30
2;30
3;30
4;30
5;30
6;30
7;30
8;30
9;30
10;30
11;30
12;30
13;30
14;30
15;30
16;30
17;30
18;30
19;30
20;30
21;30
22;30
23;30
24;30
25;30

