id;is_active;text;user_id;link_to_saller;admin_id;is_negative;is_delete;date_1;date_2;long_1;string_1;boolean_1
1;true;deliverables XSS Guam;33077;expedite Credit payment;80245;false;false;2022-11-23T02:46:19;2022-11-22T23:37:01;59810;payment Niger;true
2;true;GB Organized connecting;45735;analyzer;37727;false;false;2022-11-23T11:08:21;2022-11-22T18:03:23;71511;methodology Account;true
3;false;Greens;29241;Strategist Frozen;53958;true;false;2022-11-23T00:49:24;2022-11-23T01:30:16;9291;Card Granite Georgia;true
4;true;SMTP of;47036;Verde;31689;true;true;2022-11-22T13:35:34;2022-11-22T13:42:41;23767;Account;true
5;true;Creative SDD;26597;Account;39098;false;true;2022-11-23T11:41:22;2022-11-23T06:41:39;86147;digital;false
6;true;rich;59025;Brazil;57374;true;true;2022-11-23T00:27:45;2022-11-22T23:12:17;23009;Clothing;true
7;true;Sleek Rapids THX;4801;Branding;8527;false;true;2022-11-22T18:17:35;2022-11-22T22:39:06;74899;generate multi-byte Borders;false
8;true;Frozen;98856;back-end payment SDD;11307;true;true;2022-11-23T01:26:53;2022-11-22T17:15:58;92668;Buckinghamshire synthesize infomediaries;true
9;true;Rapids;82037;e-services microchip;87260;true;true;2022-11-23T07:03:51;2022-11-23T08:49:14;69143;Sausages;true
10;true;United;17076;Fantastic;90193;false;true;2022-11-23T07:43:10;2022-11-22T14:51:32;73581;attitude Infrastructure Rubber;true
