id;id_channel;name_channel;id_category;name_category;is_show_channel;score_channel;comment;old_is_show_channel;old_score_channel;old_comment;date_log
1;92666;Savings Steel Regional;6272;RSS;true;21353;reintermediate transmitter;false;44887;program;2024-02-05
2;33362;Valleys Keyboard Rue;82963;capacity;false;24436;white Fresh strategy;false;39887;Missouri Cheese;2024-02-06
3;20340;Liaison Mobility PCI;81700;teal;true;10423;Berkshire Handcrafted hub;true;84116;Soft;2024-02-05
4;53823;synthesize;31821;Chips yellow Chips;false;10642;port invoice Territories;false;36195;Bulgaria RAM;2024-02-05
5;7341;Licensed;87071;Forward pink Innovative;false;26720;generate Wooden withdrawal;true;50066;pink;2024-02-06
6;73484;Books Sleek engine;48760;Metal Account structure;true;29274;B2C Account Sports;false;58728;Oregon;2024-02-06
7;10813;Refined;43755;Cambridgeshire discrete Soft;true;46208;Principal;false;46721;Tools Corporate;2024-02-06
8;93185;Ports Public-key contextually-based;48801;Inlet;true;67614;bluetooth;true;93159;Functionality Gibraltar Account;2024-02-06
9;25217;Concrete;43420;cross-platform;true;19926;bypassing Lead Bedfordshire;true;58433;Games;2024-02-06
10;58144;system;93461;Alabama;true;92927;Implemented;true;18861;Burg;2024-02-05
