id;id_channel;name_channel;id_category;name_category;id_city;name_city;is_show_channel;score_channel;comment;old_is_show_channel;old_score_channel;old_comment;date_log
1;14027;Plastic loyalty;50133;hard disintermediate;7538;Ethiopia Togo Metal;false;26727;Buckinghamshire scale;true;52695;Pants yellow;2024-02-06
2;93138;Cotton infrastructures Steel;64096;Uzbekistan Steel;92125;Vermont vertical;true;16701;frictionless XSS;true;33965;Concrete;2024-02-06
3;75626;Soft;29833;Hampshire Dynamic;41344;Concrete;true;64183;withdrawal;true;15752;Gorgeous Rand bi-directional;2024-02-06
4;77083;Savings Program;58270;Lead Fresh Swiss;89619;Gloves;false;1261;Steel;false;21336;plum;2024-02-06
5;29594;ivory Mouse Place;10499;Concrete;83809;next-generation;true;34827;Credit Plastic;true;2297;web-readiness Kina embrace;2024-02-06
6;8402;orange Texas;81024;Summit copy;1792;incubate Cambridgeshire Hat;false;52219;parse;true;28896;Savings;2024-02-06
7;37479;Dynamic compressing;97180;lime;41595;Rupee invoice;false;41043;salmon function;true;12847;Shilling;2024-02-06
8;80682;intelligence Knoll Salad;39866;invoice Open-architected Music;70844;haptic Unbranded;false;1598;Bedfordshire Executive;true;51707;Chips Synchronised;2024-02-05
9;12072;grey Mouse;52137;Concrete virtual;18794;invoice Berkshire;true;12246;Borders maximized;false;63458;Fall Salad;2024-02-05
10;34758;Tactics Operative orchid;32769;scalable;62637;Baby;true;78365;Towels hardware maximized;true;47167;Director;2024-02-05
